ID,title,subtitle,author,publisher,first_published_year,language,cover_image,pages,rating,isbn_10,isbn_13
OL8976498W,Seafarer's Handbook,"Sourcebook of Ships, Oceans, and the Beasts Therein (Legends & Lairs, d20 System)",Fantasy Flight Staff,Fantasy Flight Games,           2002         ,English,//covers.openlibrary.org/b/id/858620-M.jpg,176,4.0 (1 rating),1589940555,
OL41403458W,Os Professores São Chatos Não Gosto das Aulas,,Toby Fantasy,CreateSpace Independent Publishing Platform,           2016         ,Portuguese,/images/icons/avatar_book.png,148,,,9781537737324
OL12115049W,Piano fantasy.,,Donald Martino,Ione Press,           1970         ,English,/images/icons/avatar_book.png,,,,
OL40944001W,Fantasy Castle,Fantasy Cross Stitch Pattern,Cross Stitch Collectibles,CreateSpace Independent Publishing Platform,           2018         ,English,/images/icons/avatar_book.png,90,,,9781984995070
OL25758959W,Indiscreet Fantasies,Iberian Queer Cinema,Andrés Lema-Hincapié,Bucknell University Press,           2020         ,English,/images/icons/avatar_book.png,,,,9781684482467
OL1194506W,Fantasies and impromptus,,James Agate,W. Collins Sons & Co. Ltd.,           1923         ,English,//covers.openlibrary.org/b/id/9646602-M.jpg,248,,,
OL25240957W,Shape of Fantasy,,Charul Palmer-Patel,Taylor & Francis Group,           2019         ,English,/images/icons/avatar_book.png,188,,,9781032087054
OL15414340W,Towers of Midnight,,Robert Jordan,Tor Fantasy,           2010         ,English,//covers.openlibrary.org/b/id/14658204-M.jpg,992,4.1 (25 ratings),,
OL17642835W,Fantasy,a novel,Matilde Serao,United States book company,           1890         ,English,//covers.openlibrary.org/b/id/7915550-M.jpg,,,,
OL5806075W,Valentine fantasy,,Jamie Denton,Harlequin,           2001         ,English,//covers.openlibrary.org/b/id/1187984-M.jpg,218,,0373810938,
OL86663W,Fantasy and mimesis,responses to reality in Western literature,Kathryn Hume,Methuen,           1984         ,English,//covers.openlibrary.org/b/id/4627110-M.jpg,213,,0416380107,
OL41652194W,Unicorn Coloring Book for Adults,A Fantasy Adult Coloring Books,A. Fantasy A Fantasy Adult coloring book...,CreateSpace Independent Publishing Platform,           2017         ,English,/images/icons/avatar_book.png,68,,,9781545337387
